ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
41,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB520D CRAFTOP,,,NTB520D,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#20 210519015B,,395.69009,395.69009,27-02-2024,76
42,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA DE MOCHILA  NTBG520D CRAFTOP,DE MOCHILA,,NTBG520D,CRAFTOP,PRODUCTO,1,1,U. MIN,,B220101139,,449.4953,449.4953,27-02-2024,76
43,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP60 CRAFTOP,220V,,EWP60,CRAFTOP,PRODUCTO,1,1,U. MIN,,112021100061,,87.254,87.254,27-02-2024,76
44,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP80 CRAFTOP,220V,,EWP80,CRAFTOP,PRODUCTO,1,1,U. MIN,,112021100435,,130.900502,130.900502,27-02-2024,76
45,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,FUMIGADORA,FUMIGADORA MANUAL  HS20L CRAFTOP,MANUAL,,HS20L,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#87 082020091172,,117.22147,117.22147,27-02-2024,76
46,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,GENERADOR,GENERADOR A GASOLINA  GGR5500FA CRAFTOP,A GASOLINA,,GGR5500FA,CRAFTOP,PRODUCTO,1,1,U. MIN,,122021100679,,1816.878399,1816.878399,27-02-2024,76
47,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW3135T CRAFTOP,ELECTRICA 220V,,EHW3135T,CRAFTOP,PRODUCTO,1,1,U. MIN,,072021080170,,252.477274,252.477274,27-02-2024,76
48,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW5239T CRAFTOP,ELECTRICA 220V,,EHW5239T,CRAFTOP,PRODUCTO,1,1,U. MIN,,072021080495,,378.961857,378.961857,27-02-2024,76
49,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,HIDROLAVADORA,HIDROLAVADORA ELECTRICA 220V  EHW8939TR CRAFTOP,ELECTRICA 220V,,EHW8939TR,CRAFTOP,PRODUCTO,1,1,U. MIN,,072021080727,,516.582316,516.582316,27-02-2024,76
50,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOBOMBA,MOTOBOMBA A GASOLINA  GWP30 CRAFTOP,A GASOLINA,,GWP30,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#19 112020110231,,453.866516,453.866516,27-02-2024,76
